"ppw" "exp"
"657" -0.553532922335024 "MMP"
"658" -0.660598767005073 "MMP"
"659" -0.660600908364793 "MMP"
"660" -0.553532922335024 "MMP"
"661" -0.107065844670049 "MMP"
"662" -0.107067986029769 "MMP"
"663" -0.321203958089307 "MMP"
"664" -0.892932013970231 "MMP"
"665" -0.785861886580741 "MMP"
"666" -0.232331105605437 "MMP"
"667" -0.214138113419259 "MMP"
"668" -0.107067986029769 "MMP"
"669" 0 "MMP"
"670" -0.339399091635207 "MMP"
"671" -0.214138113419259 "MMP"
"672" 0 "MMP"
"673" -0.339399091635207 "MMP"
"674" 0.10707012738949 "MMP"
"675" -0.107067986029769 "MMP"
"676" 0.232328964245717 "MMP"
"677" -0.446467077664976 "MMP"
"678" -0.339399091635207 "MMP"
"679" -0.339399091635207 "MMP"
"680" -0.446467077664975 "MMP"
"681" -0.321203958089308 "MMP"
"682" -0.214135972059538 "MMP"
"683" -0.339399091635206 "MMP"
"684" -0.339399091635207 "MMP"
"685" 0.107065844670048 "MMP"
"686" 0 "MMP"
"687" 0 "MMP"
"688" 0 "MMP"
"689" -0.107067986029769 "MMP"
"690" 0 "MMP"
"691" -0.107067986029769 "MMP"
"692" -0.214135972059538 "MMP"
"693" -0.553532922335025 "MMP"
"694" -0.446464936305256 "MMP"
"695" 0 "MMP"
"696" -0.339399091635207 "MMP"
"697" -0.214138113419259 "MMP"
"698" -0.107067986029769 "MMP"
"699" -0.214135972059538 "MMP"
"700" -0.339399091635207 "MMP"
"701" -0.446467077664975 "MMP"
"702" -0.446464936305256 "MMP"
"703" -0.339399091635207 "MMP"
"704" -0.446464936305256 "MMP"
"705" 0 "MMP"
"706" -0.339396950275486 "MMP"
"707" -0.339399091635206 "MMP"
"708" -0.107065844670048 "MMP"
"709" -0.321203958089308 "MMP"
"710" -0.446467077664976 "MMP"
"711" -0.107065844670049 "MMP"
"712" -0.339399091635206 "MMP"
"713" -0.339399091635207 "MMP"
"714" -0.446467077664975 "MMP"
"715" -0.214133830699818 "MMP"
"716" -0.339396950275486 "MMP"
"717" -0.446464936305255 "MMP"
"718" -0.553535063694745 "MMP"
"719" -0.339394808915765 "MMP"
"720" 0.107067986029769 "MMP"
"721" -0.214135972059538 "MMP"
"722" -0.214133830699818 "MMP"
"723" -0.107067986029769 "MMP"
"724" -0.214135972059538 "MMP"
"725" -0.446467077664976 "MMP"
